Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
50914,843.481,313.330817,207.4562818,1.510346249,0.749415646,51386,254.6089515,0.816976893,0.990814619,0.899283187,0.812588286,6.154119000000001,0.1655114,366.46634626499997,200.45352300899998,SIRA
25155,583.634,213.9430256,150.2665367,1.423756948,0.71181493,25433,178.9646355,0.815582142,0.989069319,0.928010772,0.836506051,8.504990000000001,0.2568798,388.357017015,200.248876065,DERMASON
33576,666.339,224.5887253,190.4630178,1.179172355,0.529912303,33927,206.7614349,0.761792399,0.989654258,0.950272923,0.920622505,6.688966,0.2963911,470.387917335,200.879917173,SEKER
30455,659.854,250.9167134,155.1456934,1.617297316,0.785929985,30828,196.9175217,0.736535345,0.98790061,0.878967385,0.784792368,8.238933000000001,0.1927835,341.823978855,200.214471498,DERMASON
35610,678.391,234.4285953,193.8260159,1.209479513,0.562493166,35888,212.9320553,0.756806155,0.992253678,0.972347904,0.908302398,6.583224,0.2764014,457.882352085,200.56516062,SEKER
23090,558.141,209.5732133,140.4901513,1.49172886,0.74203322,23315,171.4616607,0.727060898,0.99034956,0.931420827,0.818146833,9.076363,0.2508515,371.4971532,200.700500955,DERMASON
63701,993.831,394.5294597,206.1738483,1.913576639,0.852589256,64465,284.7922616,0.640758437,0.988148608,0.810458974,0.721852968,6.193458,0.10373089999999999,289.19479794,200.419240047,HOROZ
85631,1129.837,441.9871146,249.0961065,1.774363802,0.826059932,87138,330.1950567,0.757193386,0.982705593,0.842964516,0.747069418,5.161532,0.099175,309.75255738,199.049295201,CALI
30173,646.892,236.7537083,162.9183475,1.4532047,0.72558334,30612,196.0037162,0.828678147,0.985659219,0.906076353,0.827880237,7.8465419999999995,0.2273674,380.38905684,200.197146102,DERMASON
51846,904.763,380.2072219,174.6331135,2.177177136,0.888275858,52443,256.92874,0.805062112,0.988616212,0.795894412,0.675759757,7.333395,0.09433090000000001,253.44144375,199.83634266,HOROZ
27429,605.024,209.7789848,167.3613611,1.253449323,0.602924158,27774,186.8788042,0.732690458,0.987578311,0.941617743,0.890836632,7.648073,0.2971146,440.44239672,199.939670328,DERMASON
42520,787.42,313.1561139,173.4972612,1.804962866,0.832498021,42846,232.6760526,0.785748605,0.992391355,0.861767749,0.743003385,7.364913,0.13845559999999998,306.38998664999997,200.283841824,SIRA
62877,977.534,391.1334648,205.399362,1.904258421,0.851016587,63528,282.9443105,0.730864456,0.98975255,0.826871328,0.723395812,6.220613,0.10507920000000001,290.43233305499996,200.296759491,HOROZ
38695,713.214,244.5323482,201.7008856,1.212351386,0.565361317,39019,221.9639705,0.773590564,0.991696353,0.955927589,0.907708007,6.319482000000001,0.2646342,457.28327343,200.778360516,SEKER
48421,892.167,351.75824,175.8947248,1.999822566,0.86599979,49144,248.2972654,0.79968621,0.985288133,0.764453913,0.705874766,7.26458,0.11125020000000001,276.53384823,200.28242256299998,HOROZ
37777,716.007,250.1746618,192.7040335,1.298232618,0.637708265,38174,219.3152304,0.770518887,0.989600251,0.925982531,0.876648453,6.622407,0.24126680000000003,426.524443605,200.539309809,SEKER
53447,936.493,372.025377,184.0816331,2.020980425,0.869001561,54285,260.8655476,0.613360417,0.984562955,0.765815454,0.701203638,6.960641,0.10380199999999999,272.88603081,199.731464076,HOROZ
45454,777.58,278.065298,208.3350827,1.334702223,0.66230901,45868,240.5698033,0.789954814,0.9909741,0.944695417,0.865155793,6.117509999999999,0.21141300000000002,415.41447303,200.802484134,SEKER
24257,574.672,204.5871172,151.7031407,1.348601725,0.67094318,24688,175.7412064,0.721934524,0.982542126,0.923011002,0.859004266,8.434148,0.2832711,409.528022595,200.01861207299999,DERMASON
60844,974.219,392.3622247,198.6116546,1.975524677,0.862419264,61674,278.3325113,0.689911669,0.986542141,0.805590676,0.709376423,6.448659,0.1007294,279.284274495,199.81680747000001,HOROZ
80180,1079.668,369.8248818,277.4419153,1.332981289,0.661213161,81244,319.5126706,0.811324955,0.986903648,0.864361584,0.863956663,4.612433,0.15851769999999998,414.26371882499996,199.98804138,BARBUNYA
38631,755.471,287.8486583,171.456395,1.67884469,0.803245792,39158,221.7803347,0.78451322,0.986541703,0.850570309,0.770475485,7.451235,0.1619733,329.466022515,200.319961926,SIRA
40572,725.331,250.7140143,206.4719349,1.21427648,0.567264482,40900,227.283688,0.767478814,0.99198044,0.969089309,0.906545606,6.1794839999999995,0.25744859999999997,456.112838925,200.582460489,SEKER
81311,1091.066,410.5744188,254.3724155,1.614068168,0.784955206,82170,321.7582643,0.743584819,0.989546063,0.858335592,0.783678304,5.049433,0.11748259999999999,340.854185175,199.24781968500002,CALI
38830,710.511,249.0252004,198.7498551,1.252957896,0.602509891,39153,222.3508298,0.765123153,0.991750313,0.966575188,0.892884855,6.4132169999999995,0.2514418,442.470066465,200.781385767,SEKER
73445,1040.323,411.953825,228.4100886,1.803571057,0.832213333,74112,305.7990817,0.743859827,0.991000108,0.852777432,0.742313976,5.609011,0.105055,305.82167164500004,199.75818762900002,CALI
63357,972.487,330.4497412,245.5370454,1.345824377,0.669248118,64428,284.0222488,0.76490402,0.983376793,0.841854156,0.859502107,5.215678,0.1755813,410.00284896,199.83812171099999,BARBUNYA
71424,1006.911,394.2902821,232.2094763,1.697993934,0.808183862,72340,301.5623671,0.788022551,0.987337573,0.88526208,0.76482323,5.520417,0.11651879999999999,324.649788015,199.643112516,CALI
32980,666.811,249.8842793,168.2513275,1.485184593,0.73935394,33293,204.9181304,0.727328864,0.990598624,0.932083895,0.82005211,7.576843,0.2113654,373.229431965,200.751774648,DERMASON
34882,698.75,265.6135709,167.916416,1.581820153,0.774819013,35211,210.7442569,0.701441815,0.990656329,0.897775191,0.793424282,7.614631,0.1861447,349.38476105999996,200.153937132,DERMASON
39273,729.415,253.7961875,197.5272,1.284867034,0.627904183,39696,223.6156002,0.753540044,0.989344015,0.927586803,0.88108337,6.462358,0.24023640000000002,430.850887275,200.48793943500002,SEKER
39997,743.153,274.3001734,186.0736166,1.474148664,0.73473187,40469,225.6673704,0.704668781,0.988336752,0.910082601,0.822702252,6.858019,0.1937979,375.64564278,200.550021501,DERMASON
47162,822.039,314.0568648,192.4945229,1.631510653,0.79013808,47619,245.0480023,0.717969797,0.99040299,0.877035623,0.780266346,6.659108000000001,0.15225349999999999,337.89264134999996,199.651106889,SIRA
73478,1011.417,376.0807407,249.5667142,1.506934696,0.748088686,74153,305.8677742,0.776001183,0.990897199,0.902623617,0.813303477,5.118277,0.1381383,367.11171303,200.352953061,BARBUNYA
32214,662.963,240.6658739,170.6602807,1.410204372,0.705090755,32583,202.5244151,0.78494152,0.988675076,0.92103458,0.841516962,7.470847,0.2311006,393.023692335,200.72610735,DERMASON
50978,881.559,323.1062346,201.1006885,1.606688853,0.782700884,51805,254.7689257,0.70891392,0.98403629,0.824308712,0.788498947,6.33815,0.1511286,345.060476895,200.784449007,BARBUNYA
36523,700.0,254.0111405,183.492198,1.384315754,0.691497822,36908,215.6444479,0.754856978,0.989568657,0.936656233,0.848956654,6.954827,0.2228477,400.003707,200.540573094,DERMASON
159689,1538.969,566.5970992,362.4810343,1.563108261,0.768582278,161935,450.9127961,0.779761905,0.986130237,0.847276423,0.795826164,3.5481290000000003,0.0877914,351.50330261999994,198.985551066,BOMBAY
35824,711.393,270.8438011,168.7833508,1.604683162,0.782081645,36333,213.5709097,0.753475655,0.985990697,0.889538532,0.788539035,7.560401,0.180309,345.09556455,200.554193457,DERMASON
80033,1100.196,395.7101113,258.4131871,1.531307731,0.757326346,81267,319.219643,0.80065026,0.984815485,0.830881018,0.806700749,4.944337,0.1291629,361.17518438999997,200.30115455700002,BARBUNYA
49854,843.916,307.608677,207.3586578,1.483461941,0.738641137,50533,251.9446055,0.697005285,0.986563236,0.879653088,0.819042584,6.17019,0.1712791,372.31106847,200.02553029199998,SIRA
83097,1138.925,447.9528602,238.9724908,1.874495507,0.845814653,83743,325.2727877,0.760822194,0.992285922,0.805016824,0.726131735,5.390721999999999,0.0924461,292.633349835,198.660395979,CALI
35704,700.94,261.7285307,174.0866471,1.503438289,0.746716864,36110,213.2129093,0.762124317,0.988756577,0.913198205,0.814633807,7.33051,0.1991424,368.313672645,200.542544904,DERMASON
37844,703.919,245.7749899,196.1905182,1.252736331,0.602322861,38174,219.5096292,0.767689062,0.991355373,0.959757517,0.893132492,6.494424,0.25490830000000003,442.71553519500003,200.857248393,SEKER
73163,1064.874,419.7248464,223.0826866,1.881476563,0.84705989,73802,305.2114428,0.78866635,0.991341698,0.810783538,0.727170301,5.736846,0.09894579999999999,293.47103853,199.971054267,CALI
82038,1107.55,421.6557253,250.3074429,1.684551288,0.804738188,83311,323.1934804,0.707712215,0.984719905,0.840423612,0.766486641,5.139761,0.1094312,326.06348235,198.925049664,CALI
41262,737.909,267.5225426,196.8106349,1.359289058,0.677330686,41576,229.2082243,0.757100917,0.992447566,0.952257768,0.856780973,6.483509,0.21551080000000003,407.410867425,200.561470461,SEKER
47114,805.392,297.6787127,201.9763607,1.47382947,0.7345962,47730,244.9232694,0.766205887,0.987094071,0.912736081,0.822777239,6.318263999999999,0.1786104,375.71412423000004,200.543149914,SIRA
32165,675.195,250.3883323,163.8465583,1.528187927,0.756174708,32606,202.3703287,0.702599388,0.986474882,0.886614816,0.808225874,7.784497,0.2048997,362.54213052,200.649610569,DERMASON
42614,804.837,327.2921792,166.7857622,1.962350832,0.860415657,43188,232.9331019,0.726308972,0.986709271,0.82669688,0.711697733,7.680391,0.1215473,281.115082965,199.785459108,HOROZ
44938,786.535,294.1587542,195.5086363,1.504581893,0.74716689,45359,239.2004153,0.772528795,0.99071849,0.912824941,0.81316776,6.5458799999999995,0.17655030000000002,366.98920233,199.973382048,SIRA
42598,785.173,294.274185,184.9867064,1.59078558,0.777712417,43156,232.8893689,0.682452458,0.987070164,0.868297118,0.791402647,6.908169,0.1671601,347.606572695,200.26391388,SIRA
45131,840.075,347.6025547,167.3656562,2.076904919,0.876453952,45781,239.7135246,0.727039871,0.98580197,0.80361623,0.689619571,7.7020800000000005,0.10745489999999999,263.944209915,198.532599174,HOROZ
37809,721.444,263.6899886,182.7969036,1.442529843,0.720719735,38242,219.4080991,0.719130402,0.98867737,0.912850806,0.83206837,6.974265,0.2062122,384.247464015,200.742297699,DERMASON
50367,878.371,339.082248,192.0007628,1.766046359,0.824242785,51272,253.2375489,0.662810896,0.98234904,0.820351488,0.746832222,6.7322299999999995,0.1291906,309.55589424,197.990454336,HOROZ
34590,690.751,251.5688914,175.4644572,1.433731341,0.716603526,34995,209.8603246,0.741956242,0.988426918,0.910997912,0.834206183,7.2728790000000005,0.21725999999999998,386.224475025,200.544448776,DERMASON
47650,843.392,332.0364935,183.7246547,1.807250606,0.832964328,48256,246.3125338,0.759168977,0.987441976,0.841809485,0.741823681,6.968237,0.1301684,305.41781701499997,199.901393898,HOROZ
33560,669.259,227.9361768,187.8565921,1.213352027,0.566352488,33897,206.7121649,0.739858907,0.990058117,0.941549974,0.906886164,6.7919,0.2833885,456.45559527,200.580370491,SEKER
41641,761.973,281.0476122,189.9692329,1.479437528,0.73696348,42155,230.2584806,0.773019232,0.987806903,0.901263637,0.819286379,6.7493,0.18757780000000002,372.532744905,199.601664105,DERMASON
30414,661.067,257.336229,150.7779075,1.706723706,0.810370405,30745,196.784927,0.799274677,0.989234022,0.874565718,0.764699661,8.461111,0.1784723,324.54489190500004,200.604685863,DERMASON
67704,1000.748,388.251976,223.1687516,1.739723744,0.81829119,68428,293.6041725,0.768577591,0.989419536,0.849522196,0.756220678,5.73455,0.115684,317.38769127,199.97395932,CALI
32131,663.45,242.5844506,169.1960022,1.433748123,0.716611473,32562,202.2633427,0.794142363,0.986763712,0.91731334,0.833785274,7.549857,0.2250792,385.83482562,200.344470861,DERMASON
34036,666.067,226.9280102,191.1104706,1.187417987,0.539222369,34369,208.1729597,0.753842746,0.990311036,0.964078826,0.917352422,6.667294,0.2912555,467.052183075,200.850123948,SEKER
61707,961.198,367.4445707,214.4825404,1.713167748,0.811959337,62435,280.2994695,0.779473252,0.988339873,0.839302622,0.762834702,5.954666,0.12438239999999999,322.96381400999996,200.381133663,CALI
30328,640.099,232.118192,166.745123,1.392053859,0.695668445,30683,196.5065111,0.742750784,0.988430075,0.930163595,0.846579535,7.653594,0.24250249999999998,397.76678505,200.533820499,DERMASON
59780,977.357,390.3998131,196.3249131,1.98853934,0.864355261,60533,275.8881295,0.766685477,0.987560504,0.786428636,0.706680998,6.530609,0.1004678,277.165908315,199.607599434,CALI
54503,918.795,369.9598909,188.3030064,1.964705174,0.860777033,55142,263.430019,0.636791681,0.988411737,0.811321576,0.712050213,6.787881,0.1076357,281.393605275,200.223333387,HOROZ
48185,837.673,317.9881847,194.045452,1.638730418,0.792225461,48851,247.691436,0.686298248,0.986366707,0.862924287,0.778932828,6.599319,0.1498576,336.738674805,199.84974011399999,SIRA
40633,750.263,268.3977998,193.1601358,1.389509272,0.694307427,41121,227.4544843,0.755330421,0.988132584,0.907113632,0.847452865,6.605414000000001,0.2101561,398.58787869,200.580454308,DERMASON
36606,706.337,250.3332284,187.889661,1.33234169,0.660804333,37135,215.8893392,0.833925642,0.985754679,0.922015509,0.862407841,6.838585,0.2333441,412.77974317499996,199.17602831399998,SIRA
44818,790.151,306.1559554,186.9013658,1.638061627,0.792033489,45243,238.8808279,0.797870825,0.990606282,0.902073964,0.780258635,6.831094,0.1561796,337.88596303500003,200.448800313,SIRA
46318,814.578,308.2402148,192.0232097,1.60522374,0.78224882,46793,242.8454431,0.745441378,0.989848909,0.877191287,0.787844776,6.654869,0.1581546,344.48816256000003,200.268641199,SIRA
29085,629.561,231.2591974,160.4912969,1.440945409,0.719985779,29441,192.43745,0.770545223,0.987908019,0.92215367,0.83212885,7.95115,0.23516460000000003,384.303324765,200.550959166,DERMASON
76049,1131.395,384.6647554,253.412095,1.517941579,0.752329611,77435,311.1729328,0.831027625,0.982101117,0.746577439,0.808945786,5.058117,0.13361230000000002,363.18827261999996,199.659485775,BARBUNYA
71176,1008.893,386.8971528,236.9260366,1.632987064,0.790567644,72118,301.0383661,0.823386509,0.986938074,0.878725489,0.778083695,5.4357809999999995,0.12289860000000001,336.00490098,198.715356615,CALI
70854,1063.859,442.2777824,204.4339688,2.163426093,0.88676018,71368,300.3566458,0.607037294,0.992797893,0.786694462,0.679113123,6.242100000000001,0.0818991,255.96302131500002,200.54986110299998,HOROZ
29607,636.061,229.8764357,164.2182637,1.399822593,0.699761808,29974,194.156646,0.730207665,0.987756055,0.919616452,0.844613087,7.76426,0.2437312,395.921053185,200.717236617,DERMASON
37485,717.338,253.9031601,188.3302789,1.348180237,0.670686888,37892,218.4659798,0.756768215,0.989258946,0.91541854,0.86043033,6.77346,0.2290093,410.888895915,200.62055863199998,DERMASON
29063,628.813,238.2885154,155.7110109,1.530325402,0.75696468,29336,192.364656,0.697155057,0.990694028,0.923649677,0.807276237,8.199034,0.2147984,361.69068226499996,200.458364295,DERMASON
40832,748.161,272.7109515,191.1127867,1.426963398,0.713368787,41306,228.0107828,0.817801278,0.98852467,0.91668555,0.836089572,6.678853999999999,0.20132280000000002,387.97040401500004,200.500059132,SIRA
95737,1284.958,431.6200414,283.3158307,1.523458962,0.754412165,97477,349.1362689,0.765283773,0.982149635,0.728637994,0.80889726,4.508393,0.1190625,363.14470179,200.361164112,BARBUNYA
38192,706.381,251.3090882,193.9290045,1.295881907,0.636016747,38486,220.516586,0.814345722,0.992360858,0.96184313,0.877471593,6.58015,0.24062889999999998,427.325800335,200.552285364,SEKER
36435,708.456,266.8189715,174.2828862,1.530953367,0.757195979,36803,215.3844999,0.79007286,0.990000815,0.912226895,0.80723083,7.32315,0.1918089,361.649995215,200.518062903,DERMASON
196212,1747.118,682.7367865,370.0172739,1.845148415,0.840403107,199571,499.8248469,0.838269221,0.983168897,0.807776013,0.732090107,3.479587,0.061654600000000004,297.45553782,198.772563024,BOMBAY
49470,863.893,338.2378072,187.6962325,1.802048995,0.831901136,50100,250.9724293,0.826179899,0.98742515,0.832974803,0.74199993,6.837231,0.1278426,305.56296228,199.420766316,HOROZ
32572,675.095,248.0101452,167.8309927,1.477737462,0.736249494,32995,203.646651,0.754820171,0.987179876,0.898099609,0.82112226,7.6142129999999995,0.2135188,374.20418013,200.26681551599998,DERMASON
79295,1067.768,409.3083968,248.0439422,1.650144701,0.79545896,80278,317.7444409,0.81068785,0.987755051,0.873980745,0.776295926,5.161843999999999,0.1156362,334.462627575,199.881546153,CALI
69473,1091.187,380.6194913,234.2548318,1.624809565,0.788170667,71276,297.4151491,0.740918883,0.974703968,0.7332086,0.781397579,5.478668,0.12599200000000002,338.87310823499996,199.40803196099998,BARBUNYA
33211,673.16,249.0014921,170.2420172,1.462632411,0.729764327,33550,205.6345266,0.778322006,0.989895678,0.920990633,0.825836523,7.497561,0.21511770000000002,378.51331002,200.502329427,DERMASON
36373,689.957,244.4793815,189.7015456,1.288757984,0.63080564,36684,215.2011663,0.783900862,0.99152219,0.960162934,0.880242599,6.721452,0.2489158,430.02900387,200.711469726,SEKER
37248,703.557,249.1520443,190.7067662,1.306466725,0.643527199,37633,217.774256,0.735981031,0.989769617,0.945614767,0.874061686,6.689005,0.2408295,424.01102676,200.622010254,SEKER
35842,679.664,232.1107485,196.7334531,1.179823487,0.530660587,36127,213.624558,0.77145932,0.992111163,0.975020092,0.920356163,6.475943,0.28662000000000004,470.115784185,200.874562935,SEKER
70877,1088.816,348.9139716,261.2204117,1.33570715,0.66294613,72790,300.4053914,0.723183038,0.973718917,0.751287569,0.860972663,4.92281,0.16685919999999999,411.407029485,199.01510188499998,BARBUNYA
168514,1547.595,567.0395457,381.1117797,1.487856256,0.740453186,170385,463.204802,0.823023199,0.989018986,0.884160718,0.816882712,3.36494,0.0924264,370.35003813000003,199.56135456,BOMBAY
87979,1148.631,443.7386916,255.6539528,1.735700491,0.817353658,89768,334.691413,0.692835318,0.980070849,0.837968743,0.754253391,5.043689,0.1006925,315.73848878999996,198.474806448,CALI
65766,1035.842,406.4166216,207.2423686,1.961069178,0.86021832,66698,289.3715119,0.792294626,0.986026568,0.770236792,0.71200708,6.1797379999999995,0.0979686,281.35951551,199.828576824,HOROZ
36144,690.759,222.6202324,206.9200348,1.075875676,0.368884043,36563,214.5226564,0.783287101,0.988540328,0.951903609,0.963626055,6.159258,0.3275988,515.35922157,200.805320244,SEKER
